City Name,Program Name,State (full),Program Short Name,Call Volume,Calls per 1000 residents,Call Volume Data Year,Budget size,Call Categories,Responder Type,Operating Agency,Dispatch method,Launch Year,Website,Evaluation link(s),Dashboard link,Pink or Gray (for site),City Population,Hours of Operation,Budget source(s),Combined City + Program Name,Latitude,Longitude
"Durham, NC",HEART - Community Response Teams (CRT),North Carolina,HEART - CRT,8062.0,28.0,,$2000000,Service Connection,"Clinician/Social Worker,EMT/Paramedic/Nurse",New City Community Safety Department,9-1-1 center-led,2022,https://www.durhamnc.gov/4576/Community-Safety,,https://app.powerbigov.us/view?r=eyJrIjoiMWQ1YzViMGYtYmI1MC00NWM3LTg1NWUtMjdjNzk3NWNlYzU0IiwidCI6IjI5N2RlZjgyLTk0MzktNDM4OC1hODA4LTM1NDhhNGVjZjQ3ZCJ9&pageName=ReportSection7606ef27f6ee056e6f9f,Pink,291928,,,"Durham, NC - HEART - Community Response Teams (CRT)",36.00564233,-78.89543345
"Durham, NC",HEART - Community Response Teams (CRT),North Carolina,HEART - CRT,8062.0,28.0,,$2000000,Conflict Resolution,"Clinician/Social Worker,EMT/Paramedic/Nurse",New City Community Safety Department,9-1-1 center-led,2022,https://www.durhamnc.gov/4576/Community-Safety,,https://app.powerbigov.us/view?r=eyJrIjoiMWQ1YzViMGYtYmI1MC00NWM3LTg1NWUtMjdjNzk3NWNlYzU0IiwidCI6IjI5N2RlZjgyLTk0MzktNDM4OC1hODA4LTM1NDhhNGVjZjQ3ZCJ9&pageName=ReportSection7606ef27f6ee056e6f9f,Pink,291928,,,"Durham, NC - HEART - Community Response Teams (CRT)",36.00564233,-78.89543345
"Durham, NC",HEART - Community Response Teams (CRT),North Carolina,HEART - CRT,8062.0,28.0,,$2000000,Suspicious Person,"Clinician/Social Worker,EMT/Paramedic/Nurse",New City Community Safety Department,9-1-1 center-led,2022,https://www.durhamnc.gov/4576/Community-Safety,,https://app.powerbigov.us/view?r=eyJrIjoiMWQ1YzViMGYtYmI1MC00NWM3LTg1NWUtMjdjNzk3NWNlYzU0IiwidCI6IjI5N2RlZjgyLTk0MzktNDM4OC1hODA4LTM1NDhhNGVjZjQ3ZCJ9&pageName=ReportSection7606ef27f6ee056e6f9f,Pink,291928,,,"Durham, NC - HEART - Community Response Teams (CRT)",36.00564233,-78.89543345
"Durham, NC",HEART - Community Response Teams (CRT),North Carolina,HEART - CRT,8062.0,28.0,,$2000000,Substance Use,"Clinician/Social Worker,EMT/Paramedic/Nurse",New City Community Safety Department,9-1-1 center-led,2022,https://www.durhamnc.gov/4576/Community-Safety,,https://app.powerbigov.us/view?r=eyJrIjoiMWQ1YzViMGYtYmI1MC00NWM3LTg1NWUtMjdjNzk3NWNlYzU0IiwidCI6IjI5N2RlZjgyLTk0MzktNDM4OC1hODA4LTM1NDhhNGVjZjQ3ZCJ9&pageName=ReportSection7606ef27f6ee056e6f9f,Pink,291928,,,"Durham, NC - HEART - Community Response Teams (CRT)",36.00564233,-78.89543345
"Englewood, CO",Mobile Response Unit (MRU),Colorado,MRU,444.0,13.0,,$377000,Mental Health,"EMT/Paramedic/Nurse,Trained Civilian",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.allhealthfoundation.org/news-updates/allhealth-network-mobile-response-unit/,,,Gray,34339,,,"Englewood, CO - Mobile Response Unit (MRU)",39.65719523,-104.9815923
"Englewood, CO",Mobile Response Unit (MRU),Colorado,MRU,444.0,13.0,,$377000,Medical,"EMT/Paramedic/Nurse,Trained Civilian",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.allhealthfoundation.org/news-updates/allhealth-network-mobile-response-unit/,,,Gray,34339,,,"Englewood, CO - Mobile Response Unit (MRU)",39.65719523,-104.9815923
"Englewood, CO",Mobile Response Unit (MRU),Colorado,MRU,444.0,13.0,,$377000,Service Connection,"EMT/Paramedic/Nurse,Trained Civilian",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.allhealthfoundation.org/news-updates/allhealth-network-mobile-response-unit/,,,Gray,34339,,,"Englewood, CO - Mobile Response Unit (MRU)",39.65719523,-104.9815923
"Englewood, CO",Mobile Response Unit (MRU),Colorado,MRU,444.0,13.0,,$377000,Substance Use,"EMT/Paramedic/Nurse,Trained Civilian",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.allhealthfoundation.org/news-updates/allhealth-network-mobile-response-unit/,,,Gray,34339,,,"Englewood, CO - Mobile Response Unit (MRU)",39.65719523,-104.9815923
"Eureka, CA",Crisis Alternative Response of Eureka (CARE),California,CARE,500.0,19.0,,$1800000,Mental Health,Clinician/Social Worker,Contracted Agency - Social Service Provider,9-1-1 center-led,2023,https://www.eurekaca.gov/768/Crisis-Alternative-Response-Eureka,,,Gray,26441,,,"Eureka, CA - Crisis Alternative Response of Eureka (CARE)",40.79967643,-124.1610028
"Eureka, CA",Crisis Alternative Response of Eureka (CARE),California,CARE,500.0,19.0,,$1800000,Substance Use,Clinician/Social Worker,Contracted Agency - Social Service Provider,9-1-1 center-led,2023,https://www.eurekaca.gov/768/Crisis-Alternative-Response-Eureka,,,Gray,26441,,,"Eureka, CA - Crisis Alternative Response of Eureka (CARE)",40.79967643,-124.1610028
"Evanston, IL",Crisis Alternative Response Evanston (CARE),Illinois,CARE,1816.0,24.0,,$400000,Mental Health,Trained Civilian,City Human/Community Services Department,9-1-1 center-led,2024,https://www.cityofevanston.org/government/departments/parks-and-recreation-department/careteam,,,Pink,75070,seven days a week from 11 a.m. to 8 p.m. ,,"Evanston, IL - Crisis Alternative Response Evanston (CARE)",42.05599363,-87.67823345
"Evanston, IL",Crisis Alternative Response Evanston (CARE),Illinois,CARE,1816.0,24.0,,$400000,Service Connection,Trained Civilian,City Human/Community Services Department,9-1-1 center-led,2024,https://www.cityofevanston.org/government/departments/parks-and-recreation-department/careteam,,,Pink,75070,seven days a week from 11 a.m. to 8 p.m. ,,"Evanston, IL - Crisis Alternative Response Evanston (CARE)",42.05599363,-87.67823345
"Evanston, IL",Crisis Alternative Response Evanston (CARE),Illinois,CARE,1816.0,24.0,,$400000,Conflict Resolution,Trained Civilian,City Human/Community Services Department,9-1-1 center-led,2024,https://www.cityofevanston.org/government/departments/parks-and-recreation-department/careteam,,,Pink,75070,seven days a week from 11 a.m. to 8 p.m. ,,"Evanston, IL - Crisis Alternative Response Evanston (CARE)",42.05599363,-87.67823345
"Fairbanks, AK",Mobile Crisis Team (MCT),Alaska,MCT,638.0,20.0,2024.0,$638327,Mental Health,"Peer Support Specialist,Clinician/Social Worker",Contracted Agency - Social Service Provider,9-1-1 center-led,2021,https://www.fairbanksalaska.us/crisis/page/mobile-crisis-team-call-911-access-mobile-crisis-team,,https://www.fairbanksalaska.us/crisis/page/mobile-crisis-team-call-911-access-mobile-crisis-team,Gray,32711,24/7,,"Fairbanks, AK - Mobile Crisis Team (MCT)",64.84683433,-147.7103032
"Flagstaff, AZ",Community Alliance Response and Engagement (CARE),Arizona,CARE,1301.0,16.0,2023.0,$2500000,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Fire/EMS Department,9-1-1 center-led,2021,https://www.flagstaff.az.gov/4959/CARE-Program,,,Gray,79023,10-hour workday from 9:00 a.m. to 7:00 p.m.,,"Flagstaff, AZ - Community Alliance Response and Engagement (CARE)",35.20774153,-111.6454502
"Flagstaff, AZ",Community Alliance Response and Engagement (CARE),Arizona,CARE,1301.0,16.0,2023.0,$2500000,Service Connection,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Fire/EMS Department,9-1-1 center-led,2021,https://www.flagstaff.az.gov/4959/CARE-Program,,,Gray,79023,10-hour workday from 9:00 a.m. to 7:00 p.m.,,"Flagstaff, AZ - Community Alliance Response and Engagement (CARE)",35.20774153,-111.6454502
"Flagstaff, AZ",Community Alliance Response and Engagement (CARE),Arizona,CARE,1301.0,16.0,2023.0,$2500000,Substance Use,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Fire/EMS Department,9-1-1 center-led,2021,https://www.flagstaff.az.gov/4959/CARE-Program,,,Gray,79023,10-hour workday from 9:00 a.m. to 7:00 p.m.,,"Flagstaff, AZ - Community Alliance Response and Engagement (CARE)",35.20774153,-111.6454502
"Gallatin County, MT",Mobile Crisis Team (MCT),Montana,MCT,240.0,2.0,2024.0,$2500000,Mental Health,Clinician/Social Worker,Contracted Agency - Social Service Provider,,2022,https://www.gallatinmt.gov/gallatin-behavioral-health-coalition/pages/someone-respond-mobile-crisis-services,,https://www.gallatinmt.gov/gallatin-behavioral-health-coalition/pages/data-dashboard,Gray,126409,,,"Gallatin County, MT - Mobile Crisis Team (MCT)",45.49583843,-111.1903975
"Gallatin County, MT",Mobile Crisis Team (MCT),Montana,MCT,240.0,2.0,2024.0,$2500000,Substance Use,Clinician/Social Worker,Contracted Agency - Social Service Provider,,2022,https://www.gallatinmt.gov/gallatin-behavioral-health-coalition/pages/someone-respond-mobile-crisis-services,,https://www.gallatinmt.gov/gallatin-behavioral-health-coalition/pages/data-dashboard,Gray,126409,,,"Gallatin County, MT - Mobile Crisis Team (MCT)",45.49583843,-111.1903975
"Half Moon Bay, CA",Crisis Assistance Response and Evaluation Services (CARES),California,CARES,216.0,,,$350000,Service Connection,"EMT/Paramedic/Nurse,Trained Civilian",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.half-moon-bay.ca.us/844/CARES---Crisis-Assistance-Response-Evalu,,,Gray,726353,"seven days per week, from 8:00 a.m. to 6:30 p.m. ",,"Half Moon Bay, CA - Crisis Assistance Response and Evaluation Services (CARES)",37.47254123,-122.4222142
"Half Moon Bay, CA",Crisis Assistance Response and Evaluation Services (CARES),California,CARES,216.0,,,$350000,Conflict Resolution,"EMT/Paramedic/Nurse,Trained Civilian",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.half-moon-bay.ca.us/844/CARES---Crisis-Assistance-Response-Evalu,,,Gray,726353,"seven days per week, from 8:00 a.m. to 6:30 p.m. ",,"Half Moon Bay, CA - Crisis Assistance Response and Evaluation Services (CARES)",37.47254123,-122.4222142
"Harris County, TX",Holistic Assistance Response Teams (HART),Texas,HART,3437.0,1.0,2024.0,$5000000,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Health Department,9-1-1 center-led,2022,https://publichealth.harriscountytx.gov/Divisions-Offices/Divisions/Community-Health-and-Violence-Prevention-Services,,Dashboard located on website,Pink,4858883,,,"Harris County, TX - Holistic Assistance Response Teams (HART)",29.82096623,-95.36775285
"Harris County, TX",Holistic Assistance Response Teams (HART),Texas,HART,3437.0,1.0,2024.0,$5000000,Service Connection,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Health Department,9-1-1 center-led,2022,https://publichealth.harriscountytx.gov/Divisions-Offices/Divisions/Community-Health-and-Violence-Prevention-Services,,Dashboard located on website,Pink,4858883,,,"Harris County, TX - Holistic Assistance Response Teams (HART)",29.82096623,-95.36775285
"Harris County, TX",Holistic Assistance Response Teams (HART),Texas,HART,3437.0,1.0,2024.0,$5000000,Conflict Resolution,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Health Department,9-1-1 center-led,2022,https://publichealth.harriscountytx.gov/Divisions-Offices/Divisions/Community-Health-and-Violence-Prevention-Services,,Dashboard located on website,Pink,4858883,,,"Harris County, TX - Holistic Assistance Response Teams (HART)",29.82096623,-95.36775285
"Harris County, TX",Holistic Assistance Response Teams (HART),Texas,HART,3437.0,1.0,2024.0,$5000000,Suspicious Person,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Health Department,9-1-1 center-led,2022,https://publichealth.harriscountytx.gov/Divisions-Offices/Divisions/Community-Health-and-Violence-Prevention-Services,,Dashboard located on website,Pink,4858883,,,"Harris County, TX - Holistic Assistance Response Teams (HART)",29.82096623,-95.36775285
"Harris County, TX",Holistic Assistance Response Teams (HART),Texas,HART,3437.0,1.0,2024.0,$5000000,Medical,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Health Department,9-1-1 center-led,2022,https://publichealth.harriscountytx.gov/Divisions-Offices/Divisions/Community-Health-and-Violence-Prevention-Services,,Dashboard located on website,Pink,4858883,,,"Harris County, TX - Holistic Assistance Response Teams (HART)",29.82096623,-95.36775285
"Hartford, CT",Hartford Emergency Assistance Response Team (HEARTeam),Connecticut,HEARTeam,2156.0,18.0,,$1600000,Mental Health,Clinician/Social Worker,Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.hartfordct.gov/Government/Departments/MayorLukeBronin/Mayor-Initiatives/HEARTeam,,https://daytonohio.maps.arcgis.com/apps/dashboards/6294099c8f68450a8e3fd041df155587,Gray,121054,Monday through Thursday from 8 AM to 6 PM and Friday from 8 AM to 5 PM,,"Hartford, CT - Hartford Emergency Assistance Response Team (HEARTeam)",41.77357133,-72.68448285
"Hayward, CA",Mobile Integrated Health Unit (MIHU),California,MIHU,418.0,2.0,2021.0,,Mental Health,EMT/Paramedic/Nurse,,9-1-1 center-led,2021,https://www.hayward-ca.gov/services/city-services/HEART-program,,,Gray,179847,,,"Hayward, CA - Mobile Integrated Health Unit (MIHU)",37.67780983,-122.0744242
"Hayward, CA",Mobile Integrated Health Unit (MIHU),California,MIHU,418.0,2.0,2021.0,,Medical,EMT/Paramedic/Nurse,,9-1-1 center-led,2021,https://www.hayward-ca.gov/services/city-services/HEART-program,,,Gray,179847,,,"Hayward, CA - Mobile Integrated Health Unit (MIHU)",37.67780983,-122.0744242
"Hennepin County, MN",Alternative Response Team,Minnesota,ART,53.0,,2024.0,,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.canopyrootsmn.com/crisis-response,,,Gray,114000,,,"Hennepin County, MN - Alternative Response Team",45.03471253,-93.48013335
"Hennepin County, MN",Alternative Response Team,Minnesota,ART,53.0,,2024.0,,Service Connection,"Clinician/Social Worker,EMT/Paramedic/Nurse",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.canopyrootsmn.com/crisis-response,,,Gray,114000,,,"Hennepin County, MN - Alternative Response Team",45.03471253,-93.48013335
"Houston, TX",Mobile Crisis Outreach Team Rapid Response (MCOT-RR),Texas,MCOT-RR,1156.0,,2023.0,,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",Contracted Agency - Social Service Provider,9-1-1 center-led,2023,https://www.houstoncit.org/mcot/,,,Gray,2345606,"available 24 hours per day, every day of the year through a combination of on-duty and on-call coverage",,"Houston, TX - Mobile Crisis Outreach Team Rapid Response (MCOT-RR)",29.76792753,-95.36132555
"Indianapolis, IN",Clinician-Led Community Response (CLCR),Indiana,CLCR,925.0,1.0,,$2000000,Mental Health,"Clinician/Social Worker,Peer Support Specialist",Contracted Agency - Social Service Provider,,2023,https://www.indy.gov/activity/ophs-health,,,Gray,871449,,,"Indianapolis, IN - Clinician-Led Community Response (CLCR)",39.77732243,-86.15197835
"Long Beach, CA",Community Crisis Response (CCR),California,CCR,871.0,2.0,2025.0,,Mental Health,"Peer Support Specialist,EMT/Paramedic/Nurse,Trained Civilian",City Health Department,9-1-1 center-led,2023,https://www.longbeach.gov/health/services/directory-by-population/community-crisis-response-team/,,https://public.tableau.com/views/LBDHHSCommunityCrisisResponsePublicDashboard_17145903923090/CCRDashboard?:language=en-US&publish=yes&:sid=&:display_count=n&:origin=viz_share_link ,Gray,470000,,,"Long Beach, CA - Community Crisis Response (CCR)",33.77800573,-118.1852322
"Los Angeles, CA ",Unarmed Model of Crisis Response (UMCR),California,UMCR,6700.0,2.0,2025.0,$5186581,Mental Health,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2024,https://www.pennylane.org/programs/community-programs/umcr,https://clkrep.lacity.org/onlinedocs/2020/20-0769-S7_rpt_CAO_10-17-24.pdf,,Pink,3821000,"24 hours a day, 7 days a week",,"Los Angeles, CA  - Unarmed Model of Crisis Response (UMCR)",34.06268023,-118.2363942
"Los Angeles, CA ",Unarmed Model of Crisis Response (UMCR),California,UMCR,6700.0,2.0,2025.0,$5186581,Conflict Resolution,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2024,https://www.pennylane.org/programs/community-programs/umcr,https://clkrep.lacity.org/onlinedocs/2020/20-0769-S7_rpt_CAO_10-17-24.pdf,,Pink,3821000,"24 hours a day, 7 days a week",,"Los Angeles, CA  - Unarmed Model of Crisis Response (UMCR)",34.06268023,-118.2363942
"Los Angeles, CA ",Unarmed Model of Crisis Response (UMCR),California,UMCR,6700.0,2.0,2025.0,$5186581,Substance Use,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2024,https://www.pennylane.org/programs/community-programs/umcr,https://clkrep.lacity.org/onlinedocs/2020/20-0769-S7_rpt_CAO_10-17-24.pdf,,Pink,3821000,"24 hours a day, 7 days a week",,"Los Angeles, CA  - Unarmed Model of Crisis Response (UMCR)",34.06268023,-118.2363942
"Louisville, KY",Crisis Call Diversion Program (CCDP),Kentucky,CCDP,700.0,1.0,2024.0,,Mental Health,Clinician/Social Worker,Contracted Agency - Social Service Provider,Embedded professional-led,2022,https://louisvilleky.gov/government/emergency-services/crisis-call-diversion-program,,,Gray,624444,,,"Louisville, KY - Crisis Call Diversion Program (CCDP)",38.26322693,-85.75303515
"Madison, WI",Community Alternative Response Emergency Services (CARES),Wisconsin,CARES,3500.0,13.0,2022.0,$1700000,Mental Health,"EMT/Paramedic/Nurse,Trained Civilian",City Fire/EMS Department,9-1-1 center-led,2021,https://www.cityofmadison.com/fire/emergency-medical-services/community-alternative-response-emergency-services-cares,,,Pink,272903,,,"Madison, WI - Community Alternative Response Emergency Services (CARES)",43.08375033,-89.37738945
"Madison, WI",Community Alternative Response Emergency Services (CARES),Wisconsin,CARES,3500.0,13.0,2022.0,$1700000,Substance Use,"EMT/Paramedic/Nurse,Trained Civilian",City Fire/EMS Department,9-1-1 center-led,2021,https://www.cityofmadison.com/fire/emergency-medical-services/community-alternative-response-emergency-services-cares,,,Pink,272903,,,"Madison, WI - Community Alternative Response Emergency Services (CARES)",43.08375033,-89.37738945
"Mesa, AZ",Mobile Crisis Teams ,Arizona,MCT,938.0,2.0,2022.0,,,"Clinician/Social Worker,EMT/Paramedic/Nurse",Contracted Agency - Social Service Provider,,2019,"https://www.mesaaz.gov/Public-Safety/Mesa-Police/Community/Mental-Health#:~:text=(show%20below)-,Dedicated,-Mobile%20Crisis%20Teams",,,Gray,517302,,,"Mesa, AZ - Mobile Crisis Teams ",33.42408983,-111.8250832
"Minneapolis, MN",Behavorial Crisis Response Team (BCR),Minnesota,BCR,8000.0,18.0,2024.0,$5900000,Mental Health,Clinician/Social Worker,Contracted Agency - Social Service Provider,9-1-1 center-led,2021,https://www.minneapolismn.gov/resident-services/public-safety/unarmed-public-safety/behavioral-crisis-response/,,https://tableau.minneapolismn.gov/views/PublicCallsforService/CallsforService?%3Aembed=t&%3Atoolbar=f,Pink,439430,,,"Minneapolis, MN - Behavorial Crisis Response Team (BCR)",44.98628883,-93.25909735
"Modesto, CA",Community Health and Assistance Team (C.H.A.T.),California,C.H.A.T,2425.0,11.0,,$1766242,Mental Health,Trained Civilian,City Police Department,9-1-1 center-led,2022,https://www.modestogov.com/2765/Community-Health-and-Assistance-Team-CHA,,https://www.modestogov.com/2785/Outreach-Dashboard,Gray,218915,,,"Modesto, CA - Community Health and Assistance Team (C.H.A.T.)",37.64833123,-120.9905174
"Modesto, CA",Community Health and Assistance Team (C.H.A.T.),California,C.H.A.T,2425.0,11.0,,$1766242,Service Connection,Trained Civilian,City Police Department,9-1-1 center-led,2022,https://www.modestogov.com/2765/Community-Health-and-Assistance-Team-CHA,,https://www.modestogov.com/2785/Outreach-Dashboard,Gray,218915,,,"Modesto, CA - Community Health and Assistance Team (C.H.A.T.)",37.64833123,-120.9905174
"Modesto, CA",Community Health and Assistance Team (C.H.A.T.),California,C.H.A.T,2425.0,11.0,,$1766242,Suspicious Person,Trained Civilian,City Police Department,9-1-1 center-led,2022,https://www.modestogov.com/2765/Community-Health-and-Assistance-Team-CHA,,https://www.modestogov.com/2785/Outreach-Dashboard,Gray,218915,,,"Modesto, CA - Community Health and Assistance Team (C.H.A.T.)",37.64833123,-120.9905174
"Modesto, CA",Community Health and Assistance Team (C.H.A.T.),California,C.H.A.T,2425.0,11.0,,$1766242,Conflict Resolution,Trained Civilian,City Police Department,9-1-1 center-led,2022,https://www.modestogov.com/2765/Community-Health-and-Assistance-Team-CHA,,https://www.modestogov.com/2785/Outreach-Dashboard,Gray,218915,,,"Modesto, CA - Community Health and Assistance Team (C.H.A.T.)",37.64833123,-120.9905174
"Nashville, TN",Responders Engaged and Committed to Helping (REACH),Tennessee,REACH,,,,,,,,,2023,,,,Gray,715884,,,"Nashville, TN - Responders Engaged and Committed to Helping (REACH)",36.17126603,-86.76792655
"New Haven, CT",Compassionate Allies Serving our Streets (COMPASS),Connecticut,COMPASS,57.0,,,,Service Connection,,Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.elmcitycompass.org/,Nov 2024 report here,,Gray,135319,,,"New Haven, CT - Compassionate Allies Serving our Streets (COMPASS)",41.31720313,-72.91867995
"New Haven, CT",Compassionate Allies Serving our Streets (COMPASS),Connecticut,COMPASS,57.0,,,,Mental Health,,Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.elmcitycompass.org/,Nov 2024 report here,,Gray,135319,,,"New Haven, CT - Compassionate Allies Serving our Streets (COMPASS)",41.31720313,-72.91867995
"New Haven, CT",Compassionate Allies Serving our Streets (COMPASS),Connecticut,COMPASS,57.0,,,,Substance Use,,Contracted Agency - Social Service Provider,9-1-1 center-led,2022,https://www.elmcitycompass.org/,Nov 2024 report here,,Gray,135319,,,"New Haven, CT - Compassionate Allies Serving our Streets (COMPASS)",41.31720313,-72.91867995
"New Orleans, LA",Mobile Crisis Intervention Unit (MCIU) ,Louisiana,MCIU,2853.0,7.0,,,Mental Health,"Clinician/Social Worker,Peer Support Specialist",City Health Department,9-1-1 center-led,2023,https://www.rhd.org/nomciu/,https://www.rhd.org/wp-content/uploads/2024/11/MCIU-1-year-evaluation-FINAL.pdf,https://app.powerbigov.us/view?r=eyJrIjoiNjM2MzI1MDItM2Q0OC00MzE4LWIzMDEtNjIyNWY0Y2ZmZDUyIiwidCI6IjA4Y2JmNDg1LTFjYjctNGEwMi05YTIxLTBkZDliNDViOWZmNyJ9,Gray,392031,,,"New Orleans, LA - Mobile Crisis Intervention Unit (MCIU) ",29.98498763,-90.07184085
"New York City, NY",Behavioral Health Emergency Assistance Response Division (B-HEARD),New York,B-HEARD,14900.0,2.0,2024.0,$12500000,Mental Health,"EMT/Paramedic/Nurse,Clinician/Social Worker",City Health Department,9-1-1 center-led,2021,https://mentalhealth.cityofnewyork.us/b-heard,,,Pink,8335897,"seven days a week, 16 hours a day in 31 precincts across 4 boroughs",,"New York City, NY - Behavioral Health Emergency Assistance Response Division (B-HEARD)",40.72171743,-73.99964335
"Northampton, MA ",Division of Community Care (DCC) Community Responders (CRs),Massachusetts,DCC CRs,55.0,2.0,,,Service Connection,Trained Civilian,City Health Department,,2023,https://www.northamptondcc.org/,,,Gray,29327,,,"Northampton, MA  - Division of Community Care (DCC) Community Responders (CRs)",42.32688823,-72.62472875
"Novato, CA",Specialized Assistance for Everyone (SAFE) Team ,California,SAFE,,,,,Mental Health,"Trained Civilian,EMT/Paramedic/Nurse",Contracted Agency - Social Service Provider,9-1-1 center-led,2025,https://www.novato.org/community/homeless-outreach-in-novato/safe-program,,,Gray,51722,Tuesday - Saturday from 8am – 8pm,,"Novato, CA - Specialized Assistance for Everyone (SAFE) Team ",38.1074,-122.5697
"Novato, CA",Specialized Assistance for Everyone (SAFE) Team ,California,SAFE,,,,,Service Connection,"Trained Civilian,EMT/Paramedic/Nurse",Contracted Agency - Social Service Provider,9-1-1 center-led,2025,https://www.novato.org/community/homeless-outreach-in-novato/safe-program,,,Gray,51722,Tuesday - Saturday from 8am – 8pm,,"Novato, CA - Specialized Assistance for Everyone (SAFE) Team ",38.1074,-122.5697
"Novato, CA",Specialized Assistance for Everyone (SAFE) Team ,California,SAFE,,,,,Substance Use,"Trained Civilian,EMT/Paramedic/Nurse",Contracted Agency - Social Service Provider,9-1-1 center-led,2025,https://www.novato.org/community/homeless-outreach-in-novato/safe-program,,,Gray,51722,Tuesday - Saturday from 8am – 8pm,,"Novato, CA - Specialized Assistance for Everyone (SAFE) Team ",38.1074,-122.5697
"Oakland, CA",Mobile Assistance Community Responders of Oakland (MACRO) Program,California,MACRO,389.0,1.0,2023.0,,Mental Health,"EMT/Paramedic/Nurse,Trained Civilian",City Fire/EMS Department,9-1-1 center-led,2022,https://www.oaklandca.gov/projects/macro-mobile-assistance-community-responders-of-oakland,,,Gray,436504,7 days a week [6:30 am - 8:30 pm] ,,"Oakland, CA - Mobile Assistance Community Responders of Oakland (MACRO) Program",37.81344503,-122.2649842
"Oakland, CA",Mobile Assistance Community Responders of Oakland (MACRO) Program,California,MACRO,389.0,1.0,2023.0,,Substance Use,"EMT/Paramedic/Nurse,Trained Civilian",City Fire/EMS Department,9-1-1 center-led,2022,https://www.oaklandca.gov/projects/macro-mobile-assistance-community-responders-of-oakland,,,Gray,436504,7 days a week [6:30 am - 8:30 pm] ,,"Oakland, CA - Mobile Assistance Community Responders of Oakland (MACRO) Program",37.81344503,-122.2649842
"Olympia, WA",Crisis Response Unit (CRU),Washington,CRU,2000.0,36.0,2023.0,$550000,Mental Health,Trained Civilian,City Police Department,9-1-1 center-led,2019,https://www.olympiawa.gov/services/police_department/crisis_response.php,,,Pink,55669,"7 a.m. - 2 a.m., seven days a week ",,"Olympia, WA - Crisis Response Unit (CRU)",47.05409153,-122.8886357
"Olympia, WA",Crisis Response Unit (CRU),Washington,CRU,2000.0,36.0,2023.0,$550000,Service Connection,Trained Civilian,City Police Department,9-1-1 center-led,2019,https://www.olympiawa.gov/services/police_department/crisis_response.php,,,Pink,55669,"7 a.m. - 2 a.m., seven days a week ",,"Olympia, WA - Crisis Response Unit (CRU)",47.05409153,-122.8886357
"Olympia, WA",Crisis Response Unit (CRU),Washington,CRU,2000.0,36.0,2023.0,$550000,Substance Use,Trained Civilian,City Police Department,9-1-1 center-led,2019,https://www.olympiawa.gov/services/police_department/crisis_response.php,,,Pink,55669,"7 a.m. - 2 a.m., seven days a week ",,"Olympia, WA - Crisis Response Unit (CRU)",47.05409153,-122.8886357
"Orange County, CA",Be Well Orange County Mobile Response Team,California,Be Well OC MRT,7736.0,3.0,2024.0,$1200000,Mental Health,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2021,https://bewelloc.org/mobile-response/,,https://www.lagunabeachcity.net/,Pink,3000000,seven days a week from 7 AM–7 PM ,,"Orange County, CA - Be Well Orange County Mobile Response Team",33.75962033,-117.8658593
"Orange County, CA",Be Well Orange County Mobile Response Team,California,Be Well OC MRT,7736.0,3.0,2024.0,$1200000,Service Connection,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2021,https://bewelloc.org/mobile-response/,,https://www.lagunabeachcity.net/,Pink,3000000,seven days a week from 7 AM–7 PM ,,"Orange County, CA - Be Well Orange County Mobile Response Team",33.75962033,-117.8658593
"Orange County, CA",Be Well Orange County Mobile Response Team,California,Be Well OC MRT,7736.0,3.0,2024.0,$1200000,Substance Use,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2021,https://bewelloc.org/mobile-response/,,https://www.lagunabeachcity.net/,Pink,3000000,seven days a week from 7 AM–7 PM ,,"Orange County, CA - Be Well Orange County Mobile Response Team",33.75962033,-117.8658593
